Date,Occurs-AL,Occurs-AS,Occurs-DR,Occurs-FD,Occurs-NL,Occurs-NS,Occurs-RM,Occurs-X,Bouts-AL,Bouts-AS,Bouts-DR,Bouts-FD,Bouts-NL,Bouts-NS,Bouts-RM,Bouts-X,ADPB-AL,ADPB-AS,ADPB-DR,ADPB-FD,ADPB-NL,ADPB-NS,ADPB-RM,ADPB-X
daily_assess/1112.csv,158,274,36,37,636,12,256,31,71,69,23,23,72,11,33,30,2.23,3.97,1.57,1.61,8.83,1.09,7.76,1.03
daily_assess/1103.csv,190,190,23,17,594,6,158,38,77,50,18,15,89,5,61,30,2.47,3.8,1.28,1.13,6.67,1.2,2.59,1.27
